,Date,Calories,Steps,Distance,floors,Minutes_sitting,Minutes_of_slow_activity,Minutes_of_moderate_activity,Minutes_of_intense_activity,Calories_Activity
242,05-01-2016,3.241,12127.0,9.13,16,682.0,284,47,28,1760.0
243,06-01-2016,2.992,11327.0,8.42,14,613.0,314,5,32,1530.0
244,07-01-2016,3.1460000000000004,11098.0,8.25,15,720.0,247,53,30,1630.0
245,08-01-2016,3.174,12395.0,9.23,2,567.0,405,7,8,1812.0
246,09-01-2016,2.615,6643.0,4.94,0,676.0,283,0,0,1093.0
247,10-01-2016,2.7110000000000003,8846.0,6.57,9,1.167,183,36,29,1197.0
248,11-01-2016,3.013,9642.0,7.16,15,758.0,247,44,24,1472.0
249,12-01-2016,2.9930000000000003,9982.0,7.42,8,839.0,222,30,26,1387.0
250,13-01-2016,2.627,6613.0,4.91,11,857.0,205,13,3,1020.0
251,14-01-2016,3.128,12161.0,9.21,11,719.0,198,34,60,1560.0
252,15-01-2016,3.361,14837.0,11.37,11,687.0,210,58,71,1917.0
253,16-01-2016,3.3789999999999996,16759.0,12.59,7,589.0,333,23,59,1977.0
254,17-01-2016,2.878,9602.0,7.26,0,547.0,279,4,15,1314.0
255,18-01-2016,2.144,3761.0,2.79,7,998.0,99,5,3,467.0
256,19-01-2016,2.543,7456.0,5.6,6,1.215,103,22,35,881.0
257,20-01-2016,3.472,16755.0,12.78,10,551.0,331,24,51,2073.0
258,21-01-2016,3.218,11937.0,8.96,12,699.0,254,57,32,1729.0
259,22-01-2016,3.426,14577.0,10.96,5,519.0,391,34,22,2110.0
260,23-01-2016,3.615,17541.0,13.12,9,570.0,358,50,45,2286.0
261,24-01-2016,1.801,39.0,0.03,0,1.0759999999999998,5,0,0,16.0
262,25-01-2016,2.42,6610.0,4.91,10,1.27,93,24,26,756.0
263,26-01-2016,3.0660000000000003,13073.0,9.71,18,790.0,166,52,61,1521.0
264,27-01-2016,2.886,9997.0,7.46,9,759.0,164,52,28,1291.0
265,28-01-2016,3.092,10707.0,7.96,10,753.0,262,57,18,1592.0
266,29-01-2016,2.931,9952.0,7.39,17,760.0,233,30,26,1400.0
267,30-01-2016,3.034,9774.0,7.26,0,519.0,357,16,2,1641.0
268,31-01-2016,2.787,6260.0,4.65,0,671.0,298,0,0,1277.0
269,01-02-2016,2.986,11426.0,8.52,12,911.0,192,48,43,1478.0
270,02-02-2016,2.9739999999999998,10466.0,7.78,13,802.0,152,48,48,1333.0
271,03-02-2016,3.199,12866.0,9.63,11,767.0,271,45,28,1703.0
272,04-02-2016,2.037,2449.0,1.87,0,821.0,80,0,0,337.0
273,05-02-2016,3.11,10434.0,7.75,13,718.0,243,42,29,1544.0
274,05-02-2016,3.11,10434.0,7.75,13,718.0,243,42,29,1544.0
275,06-02-2016,3.177,12578.0,9.4,0,563.0,388,10,11,1784.0
276,07-02-2016,3.182,15373.0,11.7,12,599.0,273,10,62,1729.0
277,08-02-2016,3.2060000000000004,12327.0,9.24,8,699.0,278,28,30,1680.0
278,09-02-2016,2.872,10457.0,7.82,14,847.0,181,15,41,1252.0
279,10-02-2016,2.662,9900.0,7.43,21,1.237,156,6,41,1098.0
280,11-02-2016,2.8989999999999996,8966.0,6.66,14,802.0,235,21,20,1299.0
281,12-02-2016,2.8160000000000003,8353.0,6.21,19,732.0,219,17,26,1187.0
282,13-02-2016,3.235,13907.0,10.36,0,551.0,357,15,15,1813.0
283,14-02-2016,3.2889999999999997,14183.0,10.54,13,617.0,374,45,12,1941.0
284,15-02-2016,2.7510000000000003,8453.0,6.28,11,1.304,124,8,4,589.0
285,16-02-2016,2.927,7995.0,5.98,15,802.0,231,34,16,1347.0
286,17-02-2016,2.783,6707.0,4.98,10,913.0,174,36,19,1131.0
287,18-02-2016,2.804,8109.0,6.1,13,1.212,143,42,33,1146.0
288,19-02-2016,2.815,11971.0,9.23,11,865.0,179,3,51,1234.0
289,20-02-2016,2.96,11371.0,8.45,0,457.0,327,14,19,1533.0
290,21-02-2016,2.0380000000000003,2190.0,1.63,0,954.0,93,0,0,351.0
291,22-02-2016,2.594,6592.0,4.93,10,1.234,155,23,14,958.0
292,23-02-2016,2.841,8624.0,6.41,10,739.0,193,36,25,1220.0
293,24-02-2016,2.9330000000000003,8307.0,6.17,12,762.0,195,25,37,1305.0
294,25-02-2016,2.8160000000000003,7941.0,5.9,9,878.0,142,47,32,1184.0
295,26-02-2016,2.764,8050.000000000001,5.98,9,1.203,177,40,20,1150.0
296,27-02-2016,3.029,9923.0,7.37,5,1.124,184,25,44,1306.0
297,28-02-2016,2.844,9504.0,7.15,2,687.0,283,10,1,1322.0
298,29-02-2016,2.612,6847.0,5.09,10,731.0,206,20,1,1022.9999999999999
299,01-03-2016,3.117,11618.0,8.66,12,776.0,217,59,29,1584.0
300,02-03-2016,2.897,10450.0,7.76,19,765.0,199,35,26,1292.0
301,03-03-2016,2.864,11478.0,8.69,17,749.0,167,5,45,1219.0
302,04-03-2016,2.9960000000000004,10650.0,7.97,13,754.0,227,31,30,1420.0
303,05-03-2016,2.228,3103.0,2.31,1,1.042,155,0,0,572.0
304,06-03-2016,2.66,6960.0,5.2,0,1.105,280,0,0,1103.0
305,07-03-2016,3.22,16699.0,13.4,11,791.0,158,9,97,1664.0
306,08-03-2016,3.083,14068.0,11.26,14,824.0,167,8,65,1469.0
307,09-03-2016,3.339,18092.0,14.05,19,1.12,243,8,69,1833.0
308,10-03-2016,3.307,18530.0,14.71,20,793.0,162,21,100,1766.0
309,11-03-2016,3.135,14587.0,10.86,2,1.013,313,14,38,1726.0
310,12-03-2016,2.84,9992.0,7.45,4,685.0,339,0,13,1438.0
311,13-03-2016,1.79,0.0,0.0,0,1.44,0,0,0,0.0
312,14-03-2016,2.5380000000000003,9336.0,7.4,11,1.288,73,4,50,850.0
313,15-03-2016,3.133,15596.0,12.61,13,782.0,187,3,77,1557.0
314,16-03-2016,3.96,25385.0,20.45,17,638.0,254,17,124,2556.0
315,17-03-2016,3.15,14577.0,11.46,17,823.0,162,10,81,1553.0
316,18-03-2016,3.214,16667.0,13.08,12,832.0,173,9,90,1647.0
317,19-03-2016,3.87,13361.0,9.93,7,530.0,418,38,50,2548.0
318,20-03-2016,2.7310000000000003,6754.0,5.02,1,564.0,315,0,0,1237.0
319,21-03-2016,2.464,5424.0,4.03,10,1.047,193,7,2,859.0
320,22-03-2016,3.555,17913.0,13.41,15,593.0,382,22,55,2243.0
321,23-03-2016,3.063,14324.0,10.89,14,669.0,222,10,59,1542.0
322,24-03-2016,2.503,8048.999999999999,6.03,8,1.09,123,3,24,817.0
323,25-03-2016,3.052,11122.0,8.29,0,599.0,386,9,0,1646.0
324,26-03-2016,3.0210000000000004,9570.0,7.11,1,879.0,395,0,0,1587.0
325,27-03-2016,2.2230000000000003,4667.0,3.47,0,889.0,114,20,2,588.0
326,28-03-2016,1.79,0.0,0.0,0,1.44,0,0,0,0.0
327,29-03-2016,2.648,9781.0,7.34,12,1.23,139,6,39,1008.9999999999999
328,30-03-2016,3.7680000000000002,21383.0,16.69,17,641.0,384,23,57,2417.0
329,31-03-2016,3.512,20109.0,15.18,21,629.0,302,35,63,2107.0
330,01-04-2016,2.8139999999999996,11130.0,8.61,8,900.0,162,3,54,1176.0
331,02-04-2016,2.884,8250.0,6.13,0,950.0,314,7,1,1335.0
332,03-04-2016,2.931,8682.0,6.45,0,669.0,355,0,0,1437.0
333,04-04-2016,3.3139999999999996,17535.0,13.66,14,881.0,168,8,102,1731.0
334,05-04-2016,3.83,20154.0,15.05,3,445.0,471,28,45,2580.0
335,06-04-2016,4.112,23286.0,17.84,19,561.0,451,28,67,2850.0
